,Event,Date,Winner,Fighter 1,Fighter 2,F1 Knockdown,F2 Knockdown,F1 Stike,F2 Strike,F1 Takedown,F2 Takedown,F1 Submission,F2 Submission,Weightclass,Result,Method,Round,Time
2587,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",Muslim Salikhov,Muslim Salikhov,Ricky Rainey,1,0,25,19,0,0,0,0,Welterweight,KO/TKO,Punch,2,4:12
2588,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",John Moraga,John Moraga,Wilson Reis,0,0,46,12,0,8,1,0,Flyweight,U-DEC,U-DEC,3,5:00
2589,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",Brad Tavares,Brad Tavares,Krzysztof Jotko,1,0,46,24,0,0,0,0,Middleweight,KO/TKO,Punch,3,2:16
2590,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",Gilbert Burns,Gilbert Burns,Dan Moret,1,0,31,20,2,0,0,0,Lightweight,KO/TKO,Punch,2,0:59
2591,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",Lauren Mueller,Lauren Mueller,Shana Dobson,0,0,58,68,2,1,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
2592,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",Yushin Okami,Yushin Okami,Dhiego Lima,0,0,15,11,6,0,0,0,Welterweight,U-DEC,U-DEC,3,5:00
2593,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",Adam Wieczorek,Adam Wieczorek,Arjan Bhullar,0,0,13,9,0,2,1,0,Heavyweight,SUB,Omoplata,2,1:59
2594,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",Alejandro Perez,Alejandro Perez,Matthew Lopez,0,0,44,22,0,3,0,2,Bantamweight,KO/TKO,Punches,2,3:42
2595,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",Luke Sanders,Luke Sanders,Patrick Williams,1,0,59,61,0,1,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
2596,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Khabib Nurmagomedov,Khabib Nurmagomedov,Al Iaquinta,0,0,134,41,6,0,1,0,Lightweight,U-DEC,U-DEC,5,5:00
2597,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Rose Namajunas,Rose Namajunas,Joanna Jedrzejczyk,0,0,105,145,1,0,0,0,Women's Strawweight,U-DEC,U-DEC,5,5:00
2598,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Renato Moicano,Renato Moicano,Calvin Kattar,0,0,116,41,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
2599,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Zabit Magomedsharipov,Zabit Magomedsharipov,Kyle Bochniak,0,0,97,43,5,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
2600,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Chris Gruetzemacher,Chris Gruetzemacher,Joe Lauzon,0,0,128,48,0,0,0,0,Lightweight,KO/TKO,KO/TKO,2,5:00
2601,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Karolina Kowalkiewicz,Karolina Kowalkiewicz,Felice Herrig,0,0,126,86,0,0,0,0,Women's Strawweight,S-DEC,S-DEC,3,5:00
2602,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Olivier Aubin-Mercier,Olivier Aubin-Mercier,Evan Dunham,1,0,13,4,0,0,0,0,Lightweight,KO/TKO,Knees,1,0:53
2603,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Ashlee Evans-Smith,Ashlee Evans-Smith,Bec Rawlings,0,0,116,88,1,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
2604,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",Devin Clark,Devin Clark,Mike Rodriguez,0,0,50,40,7,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
2605,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Alexander Volkov,Alexander Volkov,Fabricio Werdum,1,0,48,48,2,3,0,0,Heavyweight,KO/TKO,Punch,4,1:38
2606,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Jan Blachowicz,Jan Blachowicz,Jimi Manuwa,1,0,97,37,1,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
2607,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Tom Duquesnoy,Tom Duquesnoy,Terrion Ware,0,0,67,85,0,2,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
2608,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Leon Edwards,Leon Edwards,Peter Sobotta,1,0,42,16,1,1,0,0,Welterweight,KO/TKO,Punch,3,4:59
2609,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Charles Byrd,Charles Byrd,John Phillips,0,0,11,0,1,0,1,0,Middleweight,SUB,RearNakedChoke,1,3:58
2610,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Danny Roberts,Danny Roberts,Oliver Enkamp,1,0,4,7,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:12
2611,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Danny Henry,Danny Henry,Hakeem Dawodu,1,0,2,3,0,0,1,0,Featherweight,SUB,GuillotineChoke,1,0:39
2612,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Paul Craig,Paul Craig,Magomed Ankalaev,0,0,18,59,2,0,1,0,Light Heavyweight,SUB,TriangleChoke,3,4:59
2613,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Kajan Johnson,Kajan Johnson,Stevie Ray,0,0,33,24,2,3,0,1,Lightweight,S-DEC,S-DEC,3,5:00
2614,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018",Dmitry Sosnovskiy,Dmitry Sosnovskiy,Mark Godbeer,0,0,28,24,2,0,2,0,Heavyweight,SUB,RearNakedChoke,2,4:29
2615,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Cristiane Justino,Cristiane Justino,Yana Santos,0,0,33,5,1,1,0,0,Women's Featherweight,KO/TKO,Punches,1,3:25
2616,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Brian Ortega,Brian Ortega,Frankie Edgar,1,0,25,27,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:44
2617,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Sean O'Malley,Sean O'Malley,Andre Soukhamthath,0,0,63,25,0,4,3,0,Bantamweight,U-DEC,U-DEC,3,5:00
2618,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Andrei Arlovski,Andrei Arlovski,Stefan Struve,0,0,46,34,4,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
2619,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Ketlen Vieira,Ketlen Vieira,Cat Zingano,0,0,41,59,2,0,1,0,Women's Bantamweight,S-DEC,S-DEC,3,5:00
2620,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Mackenzie Dern,Mackenzie Dern,Ashley Yoder,0,1,70,52,1,0,1,0,Women's Strawweight,S-DEC,S-DEC,3,5:00
2621,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Alexander Hernandez,Alexander Hernandez,Beneil Dariush,1,0,8,4,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:42
2622,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",John Dodson,John Dodson,Pedro Munhoz,0,0,76,69,0,1,0,0,Bantamweight,S-DEC,S-DEC,3,5:00
2623,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",CB Dollaway,CB Dollaway,Hector Lombard,0,1,13,19,0,0,0,0,Middleweight,DQ,DQ,1,5:00
2624,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Zak Ottow,Zak Ottow,Mike Pyle,1,0,22,4,0,0,0,0,Welterweight,KO/TKO,Punches,1,2:34
2625,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Cody Stamann,Cody Stamann,Bryan Caraway,0,0,95,59,0,1,0,0,Bantamweight,S-DEC,S-DEC,3,5:00
2626,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018",Jordan Johnson,Jordan Johnson,Adam Milstead,0,0,59,58,2,0,0,0,Light Heavyweight,S-DEC,S-DEC,3,5:00
2627,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Jeremy Stephens,Jeremy Stephens,Josh Emmett,1,1,24,18,0,0,0,0,Featherweight,KO/TKO,Punch,2,1:35
2628,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Jessica Andrade,Jessica Andrade,Tecia Torres,0,0,92,69,10,2,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
2629,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Ilir Latifi,Ilir Latifi,Ovince Saint Preux,1,0,25,7,0,0,1,0,Light Heavyweight,SUB,GuillotineChoke,1,3:48
2630,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Max Griffin,Max Griffin,Mike Perry,1,0,78,45,0,1,0,0,Welterweight,U-DEC,U-DEC,3,5:00
2631,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Brian Kelleher,Brian Kelleher,Renan Barao,0,0,94,116,1,0,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
2632,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Marion Reneau,Marion Reneau,Sara McMann,0,0,23,9,0,2,1,0,Women's Bantamweight,SUB,TriangleChoke,2,3:40
2633,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Angela Hill,Angela Hill,Maryna Moroz,0,0,114,84,1,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
2634,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Alan Jouban,Alan Jouban,Ben Saunders,2,0,78,33,0,0,0,0,Welterweight,KO/TKO,Punch,2,2:38
2635,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Sam Alvey,Sam Alvey,Marcin Prachnio,2,0,10,15,1,0,0,0,Light Heavyweight,KO/TKO,Punch,1,4:23
2636,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Rani Yahya,Rani Yahya,Russell Doane,0,0,17,2,2,1,2,0,Bantamweight,SUB,ArmTriangle,3,2:32
2637,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Alex Perez,Alex Perez,Eric Shelton,0,0,29,41,5,0,0,0,Flyweight,U-DEC,U-DEC,3,5:00
2638,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018",Manny Bermudez,Manny Bermudez,Albert Morales,0,0,12,19,1,1,3,0,Bantamweight,SUB,GuillotineChoke,2,2:33
2639,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Donald Cerrone,Donald Cerrone,Yancy Medeiros,3,0,28,25,0,0,0,0,Welterweight,KO/TKO,Punch,1,4:58
2640,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Derrick Lewis,Derrick Lewis,Marcin Tybura,2,0,30,37,1,1,0,1,Heavyweight,KO/TKO,Punch,3,2:48
2641,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",James Vick,James Vick,Francisco Trinaldo,1,0,68,26,1,3,0,1,Lightweight,U-DEC,U-DEC,3,5:00
2642,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Curtis Millender,Curtis Millender,Thiago Alves,2,0,47,33,0,1,0,0,Welterweight,KO/TKO,OKnee,2,4:17
2643,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Brandon Davis,Brandon Davis,Steven Peterson,0,0,114,73,0,1,0,0,Featherweight,U-DEC,U-DEC,3,5:00
2644,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Sage Northcutt,Sage Northcutt,Thibault Gouti,0,0,63,28,1,4,0,1,Lightweight,U-DEC,U-DEC,3,5:00
2645,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Diego Ferreira,Diego Ferreira,Jared Gordon,1,0,29,8,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:58
2646,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Geoff Neal,Geoff Neal,Brian Camozzi,0,0,14,7,0,0,1,0,Welterweight,SUB,RearNakedChoke,1,2:48
2647,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Robert Sanchez,Robert Sanchez,Joby Sanchez,0,0,2,1,3,0,1,0,Flyweight,SUB,RearNakedChoke,1,1:50
2648,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Lucie Pudilova,Lucie Pudilova,Sarah Moras,2,0,75,43,0,2,0,2,Women's Bantamweight,U-DEC,U-DEC,3,5:00
2649,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Alex Morono,Alex Morono,Joshua Burkman,1,0,7,4,0,0,1,0,Welterweight,SUB,GuillotineChoke,1,2:12
2650,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018",Oskar Piechota,Oskar Piechota,Tim Williams,1,0,17,8,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:54
2651,UFC 221: Romero vs. Rockhold,"February 10, 2018",Yoel Romero,Yoel Romero,Luke Rockhold,1,0,45,45,0,0,0,0,Middleweight,KO/TKO,Punch,3,1:48
2652,UFC 221: Romero vs. Rockhold,"February 10, 2018",Curtis Blaydes,Curtis Blaydes,Mark Hunt,0,1,56,14,10,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
2653,UFC 221: Romero vs. Rockhold,"February 10, 2018",Tai Tuivasa,Tai Tuivasa,Cyril Asker,0,0,38,3,0,0,0,0,Heavyweight,KO/TKO,Elbow,1,2:18
2654,UFC 221: Romero vs. Rockhold,"February 10, 2018",Jake Matthews,Jake Matthews,Li Jingliang,2,0,63,49,2,0,1,0,Welterweight,U-DEC,U-DEC,3,5:00
2655,UFC 221: Romero vs. Rockhold,"February 10, 2018",Tyson Pedro,Tyson Pedro,Saparbeg Safarov,0,0,12,8,0,2,1,0,Light Heavyweight,SUB,Kimura,1,3:54
2656,UFC 221: Romero vs. Rockhold,"February 10, 2018",Dong Hyun Ma,Dong Hyun Ma,Damien Brown,0,0,67,46,0,0,0,0,Lightweight,S-DEC,S-DEC,3,5:00
2657,UFC 221: Romero vs. Rockhold,"February 10, 2018",Israel Adesanya,Israel Adesanya,Rob Wilkinson,1,0,52,22,0,3,0,0,Middleweight,KO/TKO,Punches,2,3:37
2658,UFC 221: Romero vs. Rockhold,"February 10, 2018",Alexander Volkanovski,Alexander Volkanovski,Jeremy Kennedy,0,0,73,8,2,0,0,0,Featherweight,KO/TKO,Punches,2,4:57
2659,UFC 221: Romero vs. Rockhold,"February 10, 2018",Jussier Formiga,Jussier Formiga,Ben Nguyen,1,0,27,21,2,0,1,0,Flyweight,SUB,RearNakedChoke,3,1:43
2660,UFC 221: Romero vs. Rockhold,"February 10, 2018",Ross Pearson,Ross Pearson,Mizuto Hirota,0,0,58,77,0,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
2661,UFC 221: Romero vs. Rockhold,"February 10, 2018",Jose Quinonez,Jose Quinonez,Teruto Ishihara,0,1,49,33,2,1,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
2662,UFC 221: Romero vs. Rockhold,"February 10, 2018",Luke Jumeau,Luke Jumeau,Daichi Abe,0,0,63,63,1,0,0,0,Welterweight,U-DEC,U-DEC,3,5:00
2663,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Lyoto Machida,Lyoto Machida,Eryk Anders,0,0,62,32,0,3,0,0,Middleweight,S-DEC,S-DEC,5,5:00
2664,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Valentina Shevchenko,Valentina Shevchenko,Priscila Cachoeira,0,0,95,2,2,0,2,0,Women's Flyweight,SUB,RearNakedChoke,2,4:25
2665,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Michel Prazeres,Michel Prazeres,Desmond Green,0,0,36,33,3,3,3,0,Lightweight,U-DEC,U-DEC,3,5:00
2666,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Timothy Johnson,Timothy Johnson,Marcelo Golm,0,0,77,59,0,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
2667,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Douglas Silva de Andrade,Douglas Silva de Andrade,Marlon Vera,0,0,97,72,1,0,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
2668,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Thiago Santos,Thiago Santos,Anthony Smith,2,0,58,10,0,1,0,0,Middleweight,KO/TKO,OKick,2,1:03
2669,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Sergio Moraes,Sergio Moraes,Tim Means,0,1,87,129,0,0,0,0,Welterweight,S-DEC,S-DEC,3,5:00
2670,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Alan Patrick,Alan Patrick,Damir Hadzovic,0,0,28,20,9,0,0,1,Lightweight,U-DEC,U-DEC,3,5:00
2671,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Polyana Viana,Polyana Viana,Maia Stevenson,0,0,12,6,1,1,3,0,Women's Strawweight,SUB,RearNakedChoke,1,3:50
2672,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Iuri Alcantara,Iuri Alcantara,Joe Soto,1,0,17,1,0,0,0,0,Bantamweight,KO/TKO,Punches,1,1:06
2673,UFC Fight Night: Machida vs. Anders,"February 03, 2018",Deiveson Figueiredo,Deiveson Figueiredo,Joseph Morales,1,0,31,9,2,0,1,0,Flyweight,KO/TKO,Punches,2,4:34
2674,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Jacare Souza,Jacare Souza,Derek Brunson,1,0,9,8,0,0,0,0,Middleweight,KO/TKO,OKick,1,3:50
2675,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Andre Fili,Andre Fili,Dennis Bermudez,0,0,80,103,4,1,0,0,Featherweight,S-DEC,S-DEC,3,5:00
2676,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Gregor Gillespie,Gregor Gillespie,Jordan Rinaldi,0,0,34,7,1,0,0,0,Lightweight,KO/TKO,Punches,1,4:46
2677,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Drew Dober,Drew Dober,Frank Camacho,0,0,145,106,0,3,0,0,Welterweight,U-DEC,U-DEC,3,5:00
2678,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Bobby Green,Bobby Green,Erik Koch,0,0,110,56,1,1,0,0,Lightweight,U-DEC,U-DEC,3,5:00
2679,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Mirsad Bektic,Mirsad Bektic,Godofredo Pepey,1,0,12,5,0,0,0,0,Featherweight,KO/TKO,Punch,1,2:47
2680,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Katlyn Chookagian,Katlyn Chookagian,Mara Romero Borella,0,0,68,79,0,1,1,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
2681,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Randa Markos,Randa Markos,Juliana Lima,0,0,46,18,2,1,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
2682,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Ji Yeon Kim,Ji Yeon Kim,Justine Kish,0,0,68,96,0,0,0,0,Women's Flyweight,S-DEC,S-DEC,3,5:00
2683,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Vinc Pichel,Vinc Pichel,Joaquim Silva,0,0,60,45,1,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
2684,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Niko Price,Niko Price,George Sullivan,0,0,24,21,2,1,3,0,Welterweight,SUB,RearNakedChoke,2,4:21
2685,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018",Cory Sandhagen,Cory Sandhagen,Austin Arnett,1,0,80,32,1,1,0,0,Featherweight,KO/TKO,Punches,2,3:48
2686,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Stipe Miocic,Stipe Miocic,Francis Ngannou,0,0,70,21,6,0,0,1,Heavyweight,U-DEC,U-DEC,5,5:00
2687,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Daniel Cormier,Daniel Cormier,Volkan Oezdemir,0,0,32,38,2,0,1,0,Light Heavyweight,KO/TKO,Punches,2,2:00
2688,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Calvin Kattar,Calvin Kattar,Shane Burgos,1,0,85,89,0,0,0,0,Featherweight,KO/TKO,Punch,3,0:32
2689,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Gian Villante,Gian Villante,Francimar Barroso,0,0,74,74,0,0,0,0,Light Heavyweight,S-DEC,S-DEC,3,5:00
2690,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Rob Font,Rob Font,Thomas Almeida,2,0,41,24,1,0,0,0,Bantamweight,KO/TKO,OKick,2,2:24
2691,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Kyle Bochniak,Kyle Bochniak,Brandon Davis,0,0,33,38,3,1,0,0,Featherweight,U-DEC,U-DEC,3,5:00
2692,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Abdul Razak Alhassan,Abdul Razak Alhassan,Sabah Homasi,1,0,13,8,0,1,0,0,Welterweight,KO/TKO,Punch,1,3:47
2693,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Dustin Ortiz,Dustin Ortiz,Alexandre Pantoja,0,0,36,19,7,1,0,2,Flyweight,U-DEC,U-DEC,3,5:00
2694,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Julio Arce,Julio Arce,Dan Ige,0,0,72,35,0,1,0,0,Featherweight,U-DEC,U-DEC,3,5:00
2695,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Enrique Barzola,Enrique Barzola,Matt Bessette,0,0,55,43,5,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
2696,UFC 220: Miocic vs. Ngannou,"January 20, 2018",Islam Makhachev,Islam Makhachev,Gleison Tibau,1,0,3,2,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:57
2697,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Jeremy Stephens,Jeremy Stephens,Dooho Choi,1,0,49,44,0,0,0,0,Featherweight,KO/TKO,Punch,2,2:36
2698,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Jessica-Rose Clark,Jessica-Rose Clark,Paige VanZant,0,0,55,54,2,0,1,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
2699,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Kamaru Usman,Kamaru Usman,Emil Meek,0,0,50,30,8,0,0,2,Welterweight,U-DEC,U-DEC,3,5:00
2700,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Darren Elkins,Darren Elkins,Michael Johnson,0,0,18,45,1,0,1,0,Featherweight,SUB,RearNakedChoke,2,2:22
2701,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",James Krause,James Krause,Alex White,0,0,35,56,3,1,2,0,Lightweight,U-DEC,U-DEC,3,5:00
2702,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Marco Polo Reyes,Marco Polo Reyes,Matt Frevola,2,0,18,9,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:00
2703,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Irene Aldana,Irene Aldana,Talita Bernardo,0,0,70,46,1,1,0,0,Women's Bantamweight,U-DEC,U-DEC,3,5:00
2704,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Kyung Ho Kang,Kyung Ho Kang,Guido Cannetti,0,0,3,19,1,1,1,0,Bantamweight,SUB,TriangleChoke,1,4:53
2705,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Jessica Eye,Jessica Eye,Kalindra Faria,0,0,25,38,3,1,6,1,Women's Flyweight,S-DEC,S-DEC,3,5:00
2706,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",JJ Aldrich,JJ Aldrich,Danielle Taylor,0,0,54,38,1,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
2707,UFC Fight Night: Stephens vs. Choi,"January 14, 2018",Mads Burnell,Mads Burnell,Mike Santiago,0,0,20,51,3,3,1,2,Featherweight,U-DEC,U-DEC,3,5:00
2708,UFC 219: Cyborg vs. Holm,"December 30, 2017",Cristiane Justino,Cristiane Justino,Holly Holm,0,0,118,44,0,0,0,0,Women's Featherweight,U-DEC,U-DEC,5,5:00
2709,UFC 219: Cyborg vs. Holm,"December 30, 2017",Khabib Nurmagomedov,Khabib Nurmagomedov,Edson Barboza,0,0,89,25,4,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
2710,UFC 219: Cyborg vs. Holm,"December 30, 2017",Dan Hooker,Dan Hooker,Marc Diakiese,0,0,17,24,2,0,1,0,Lightweight,SUB,GuillotineChoke,3,0:42
2711,UFC 219: Cyborg vs. Holm,"December 30, 2017",Carla Esparza,Carla Esparza,Cynthia Calvillo,0,0,48,38,2,1,1,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
2712,UFC 219: Cyborg vs. Holm,"December 30, 2017",Neil Magny,Neil Magny,Carlos Condit,0,0,32,37,6,0,0,0,Welterweight,U-DEC,U-DEC,3,5:00
2713,UFC 219: Cyborg vs. Holm,"December 30, 2017",,Khalil Rountree Jr.,Michal Oleksiejczuk,0,0,52,76,0,2,1,0,Light Heavyweight,Overturned,Overturned,3,5:00
2714,UFC 219: Cyborg vs. Holm,"December 30, 2017",Myles Jury,Myles Jury,Ricky Glenn,0,0,41,14,2,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
2715,UFC 219: Cyborg vs. Holm,"December 30, 2017",Draw,Marvin Vettori,Omari Akhmedov,0,0,66,51,0,0,2,0,Middleweight,M-DEC,M-DEC,3,5:00
2716,UFC 219: Cyborg vs. Holm,"December 30, 2017",Matheus Nicolau,Matheus Nicolau,Louis Smolka,3,0,87,49,3,0,2,0,Flyweight,U-DEC,U-DEC,3,5:00
2717,UFC 219: Cyborg vs. Holm,"December 30, 2017",Tim Elliott,Tim Elliott,Mark De La Rosa,0,0,12,2,1,0,2,0,Bantamweight,SUB,AnacondaChoke,2,1:41
2718,UFC Fight Night: Lawler vs. Dos Anjos,"December 16, 2017",Rafael Dos Anjos,Rafael Dos Anjos,Robbie Lawler,0,0,172,86,2,0,0,0,Welterweight,U-DEC,U-DEC,5,5:00
2719,UFC Fight Night: Lawler vs. Dos Anjos,"December 16, 2017",Josh Emmett,Josh Emmett,Ricardo Lamas,1,0,10,17,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:33
2720,UFC Fight Night: Lawler vs. Dos Anjos,"December 16, 2017",Santiago Ponzinibbio,Santiago Ponzinibbio,Mike Perry,1,0,78,51,3,1,0,0,Welterweight,U-DEC,U-DEC,3,5:00
2721,UFC Fight Night: Lawler vs. Dos Anjos,"December 16, 2017",Glover Teixeira,Glover Teixeira,Misha Cirkunov,0,0,13,21,1,0,1,0,Light Heavyweight,KO/TKO,Punches,1,2:45
2722,UFC Fight Night: Lawler vs. Dos Anjos,"December 16, 2017",Jan Blachowicz,Jan Blachowicz,Jared Cannonier,1,0,50,26,4,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
2723,UFC Fight Night: Lawler vs. Dos Anjos,"December 16, 2017",Julian Marquez,Julian Marquez,Darren Stewart,0,0,32,33,0,4,3,0,Middleweight,SUB,GuillotineChoke,2,2:42
2724,UFC Fight Night: Lawler vs. Dos Anjos,"December 16, 2017",Chad Laprise,Chad Laprise,Galore Bofando,0,1,20,13,1,0,0,0,Welterweight,KO/TKO,Punches,1,4:10
