,Event,Date,Winner,Loser,Knockdown # W,Knockdown # L,Stike # W,Strike # L,Takedown # W,Takedown # L,Submission # W,Submission # L,Weightclass,Result,Method,Round,Time
3497,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Alistair Overeem,Andrei Arlovski,1,0,23,16,1,0,0,0,Heavyweight,KO/TKO,Punch,2,1:12
3498,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Stefan Struve,Antonio Silva,1,0,13,0,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:16
3499,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Gunnar Nelson,Albert Tumenov,0,0,29,23,2,0,1,0,Welterweight,SUB,RearNakedChoke,2,3:15
3500,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Germaine de Randamie,Anna Elmose,1,0,18,6,0,0,0,0,Women's Bantamweight,KO/TKO,OKnee,1,3:46
3501,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Nikita Krylov,Francimar Barroso,0,0,58,22,0,2,1,0,Light Heavyweight,SUB,RearNakedChoke,2,3:11
3502,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Karolina Kowalkiewicz,Heather Clark,0,0,119,70,0,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
3503,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Rustam Khabilov,Chris Wade,0,1,50,25,6,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3504,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Magnus Cedenblad,Garreth McLellan,1,0,21,12,0,0,0,0,Middleweight,KO/TKO,OKick,2,0:47
3505,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Josh Emmett,Jon Tuck,0,0,54,53,0,0,0,0,Lightweight,S-DEC,S-DEC,3,5:00
3506,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Reza Madadi,Yan Cabral,0,0,27,32,1,1,0,0,Lightweight,KO/TKO,Punch,3,1:56
3507,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Kyoji Horiguchi,Neil Seery,2,0,72,40,6,0,0,1,Flyweight,U-DEC,U-DEC,3,5:00
3508,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Leon Edwards,Dominic Waters,0,0,24,3,2,4,1,0,Welterweight,U-DEC,U-DEC,3,5:00
3509,UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Yuta Sasaki,Willie Gates,0,0,7,13,4,0,1,0,Flyweight,SUB,RearNakedChoke,2,3:30
3510,UFC 197: Jones vs Saint Preux,"April 23, 2016",Jon Jones,Ovince Saint Preux,0,0,105,57,3,0,0,0,Light Heavyweight,U-DEC,U-DEC,5,5:00
3511,UFC 197: Jones vs Saint Preux,"April 23, 2016",Demetrious Johnson,Henry Cejudo,1,0,21,6,0,1,0,0,Flyweight,KO/TKO,Knees,1,2:49
3512,UFC 197: Jones vs Saint Preux,"April 23, 2016",Edson Barboza,Anthony Pettis,0,0,73,48,0,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3513,UFC 197: Jones vs Saint Preux,"April 23, 2016",Robert Whittaker,Rafael Natal,0,0,89,62,0,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
3514,UFC 197: Jones vs Saint Preux,"April 23, 2016",Yair Rodriguez,Andre Fili,1,0,25,11,2,1,0,0,Featherweight,KO/TKO,OKick,2,2:15
3515,UFC 197: Jones vs Saint Preux,"April 23, 2016",Sergio Pettis,Chris Kelades,0,0,61,35,2,1,0,0,Flyweight,U-DEC,U-DEC,3,5:00
3516,UFC 197: Jones vs Saint Preux,"April 23, 2016",Danny Roberts,Dominique Steele,0,1,60,34,0,6,0,0,Welterweight,U-DEC,U-DEC,3,5:00
3517,UFC 197: Jones vs Saint Preux,"April 23, 2016",Carla Esparza,Juliana Lima,0,0,28,26,5,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
3518,UFC 197: Jones vs Saint Preux,"April 23, 2016",James Vick,Glaico Franca Moreira,0,0,94,39,0,4,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3519,UFC 197: Jones vs Saint Preux,"April 23, 2016",Walt Harris,Cody East,1,0,31,26,0,0,0,0,Heavyweight,KO/TKO,Punches,1,4:18
3520,UFC 197: Jones vs Saint Preux,"April 23, 2016",Marcos Rogerio de Lima,Clint Hester,1,0,29,0,0,0,1,0,Light Heavyweight,SUB,ArmTriangle,1,4:35
3521,UFC 197: Jones vs Saint Preux,"April 23, 2016",Kevin Lee,Efrain Escudero,0,0,64,70,1,1,1,0,Lightweight,U-DEC,U-DEC,3,5:00
3522,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Glover Teixeira,Rashad Evans,1,0,6,7,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:48
3523,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Rose Namajunas,Tecia Torres,0,0,46,61,2,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
3524,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Khabib Nurmagomedov,Darrell Horcher,0,0,75,6,2,0,0,0,Catch Weight,KO/TKO,Punches,2,3:38
3525,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Cub Swanson,Hacran Dias,2,0,83,55,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
3526,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Michael Chiesa,Beneil Dariush,0,0,11,27,1,1,2,0,Lightweight,SUB,RearNakedChoke,2,1:20
3527,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Raquel Pennington,Bethe Correia,0,0,75,66,0,0,0,0,Women's Bantamweight,S-DEC,S-DEC,3,5:00
3528,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Santiago Ponzinibbio,Court McGee,1,0,38,35,0,0,0,0,Welterweight,KO/TKO,Punch,1,4:15
3529,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Michael Graves,Randy Brown,0,0,11,10,2,0,1,1,Welterweight,SUB,RearNakedChoke,2,2:31
3530,UFC on FOX: Teixeira vs Evans,"April 16, 2016",John Dodson,Manvel Gamburyan,1,0,16,2,0,0,0,0,Bantamweight,KO/TKO,Punches,1,0:37
3531,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Cezar Ferreira,Oluwale Bamgbose,0,1,26,20,3,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
3532,UFC on FOX: Teixeira vs Evans,"April 16, 2016",Elizeu Zaleski dos Santos,Omari Akhmedov,0,0,72,36,0,3,1,1,Welterweight,KO/TKO,OKnee,3,3:03
3533,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Junior Dos Santos,Ben Rothwell,0,0,157,77,0,0,0,0,Heavyweight,U-DEC,U-DEC,5,5:00
3534,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Derrick Lewis,Gabriel Gonzaga,1,0,17,5,0,1,0,0,Heavyweight,KO/TKO,Punches,1,4:48
3535,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Francis Ngannou,Curtis Blaydes,0,0,36,24,0,2,0,0,Heavyweight,KO/TKO,KO/TKO,2,5:00
3536,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Timothy Johnson,Marcin Tybura,0,0,45,48,0,1,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
3537,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Jan Blachowicz,Igor Pokrajac,0,0,98,35,4,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
3538,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Maryna Moroz,Cristina Stanciu,0,0,35,39,1,1,1,2,Women's Strawweight,U-DEC,U-DEC,3,5:00
3539,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Zak Cummings,Nicolas Dalby,1,0,56,57,1,0,1,0,Welterweight,U-DEC,U-DEC,3,5:00
3540,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Alejandro Perez,Ian Entwistle,0,0,48,0,0,0,0,1,Bantamweight,KO/TKO,Punches,1,4:04
3541,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Mairbek Taisumov,Damir Hadzovic,1,0,25,11,0,0,0,0,Lightweight,KO/TKO,Punch,1,3:44
3542,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Damian Stasiak,Filip Pejic,0,0,2,0,2,0,1,0,Bantamweight,SUB,RearNakedChoke,1,2:16
3543,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Lucas Martins,Robert Whiteford,0,0,30,45,0,1,0,0,Featherweight,S-DEC,S-DEC,3,5:00
3544,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Jared Cannonier,Cyril Asker,1,0,27,13,0,0,0,0,Heavyweight,KO/TKO,Punch,1,2:44
3545,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Bojan Velickovic,Alessio Di Chirico,0,0,45,65,1,2,1,0,Middleweight,U-DEC,U-DEC,3,5:00
3546,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Mark Hunt,Frank Mir,1,0,8,1,0,0,0,0,Heavyweight,KO/TKO,Punch,1,3:01
3547,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Neil Magny,Hector Lombard,0,2,148,60,1,1,2,0,Welterweight,KO/TKO,Punches,3,0:46
3548,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Jake Matthews,Johnny Case,0,0,36,35,0,1,2,0,Lightweight,SUB,RearNakedChoke,3,4:45
3549,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Daniel Kelly,Antonio Carlos Junior,0,0,37,33,0,2,0,0,Middleweight,KO/TKO,Punches,3,1:36
3550,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Steve Bosse,James Te Huna,1,0,5,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:52
3551,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Bec Rawlings,Seo Hee Ham,0,0,77,92,1,0,0,1,Women's Strawweight,U-DEC,U-DEC,3,5:00
3552,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Alan Jouban,Brendan O'Reilly,1,0,32,8,0,1,0,0,Welterweight,KO/TKO,Elbow,1,2:15
3553,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Dan Hooker,Mark Eddiva,0,0,5,4,0,0,1,0,Featherweight,SUB,GuillotineChoke,1,1:24
3554,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Leslie Smith,Rin Nakai,0,0,62,31,0,3,0,1,Women's Bantamweight,U-DEC,U-DEC,3,5:00
3555,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Viscardi Andrade,Richard Walsh,0,1,38,46,5,1,1,0,Welterweight,U-DEC,U-DEC,3,5:00
3556,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Ross Pearson,Chad Laprise,0,0,52,78,0,0,0,0,Lightweight,S-DEC,S-DEC,3,5:00
3557,UFC Fight Night: Hunt vs Mir,"March 19, 2016",Alan Patrick,Damien Brown,0,0,25,15,5,1,1,1,Lightweight,U-DEC,U-DEC,3,5:00
3558,UFC 196: McGregor vs Diaz,"March 05, 2016",Nate Diaz,Conor McGregor,0,0,77,61,1,0,2,0,Welterweight,SUB,RearNakedChoke,2,4:12
3559,UFC 196: McGregor vs Diaz,"March 05, 2016",Miesha Tate,Holly Holm,0,0,40,59,2,0,2,0,Women's Bantamweight,SUB,RearNakedChoke,5,3:30
3560,UFC 196: McGregor vs Diaz,"March 05, 2016",Ilir Latifi,Gian Villante,0,0,30,23,3,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
3561,UFC 196: McGregor vs Diaz,"March 05, 2016",Corey Anderson,Tom Lawlor,0,0,55,31,1,1,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
3562,UFC 196: McGregor vs Diaz,"March 05, 2016",Amanda Nunes,Valentina Shevchenko,0,0,39,28,2,1,2,0,Women's Bantamweight,U-DEC,U-DEC,3,5:00
3563,UFC 196: McGregor vs Diaz,"March 05, 2016",Siyar Bahadurzada,Brandon Thatch,0,0,84,30,3,1,1,0,Welterweight,SUB,ArmTriangle,3,4:11
3564,UFC 196: McGregor vs Diaz,"March 05, 2016",Nordine Taleb,Erick Silva,1,0,26,11,1,0,0,0,Welterweight,KO/TKO,Punch,2,1:34
3565,UFC 196: McGregor vs Diaz,"March 05, 2016",Vitor Miranda,Marcelo Guimaraes,0,0,46,23,0,1,0,0,Middleweight,KO/TKO,OKick,2,1:09
3566,UFC 196: McGregor vs Diaz,"March 05, 2016",Darren Elkins,Chas Skelly,0,0,104,27,7,0,0,2,Featherweight,U-DEC,U-DEC,3,5:00
3567,UFC 196: McGregor vs Diaz,"March 05, 2016",Diego Sanchez,Jim Miller,0,0,48,56,2,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3568,UFC 196: McGregor vs Diaz,"March 05, 2016",Jason Saggo,Justin Salas,0,0,20,1,0,1,0,0,Lightweight,KO/TKO,Punches,1,4:31
3569,UFC 196: McGregor vs Diaz,"March 05, 2016",Teruto Ishihara,Julian Erosa,1,0,27,16,0,1,0,0,Featherweight,KO/TKO,Punch,2,0:34
3570,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Michael Bisping,Anderson Silva,1,1,108,75,0,0,0,0,Middleweight,U-DEC,U-DEC,5,5:00
3571,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Gegard Mousasi,Thales Leites,0,0,81,17,0,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
3572,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Tom Breese,Keita Nakamura,0,0,32,6,0,3,1,1,Welterweight,U-DEC,U-DEC,3,5:00
3573,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Brad Pickett,Francisco Rivera,0,0,39,69,3,2,0,0,Bantamweight,S-DEC,S-DEC,3,5:00
3574,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Makwan Amirkhani,Mike Wilkinson,0,0,32,13,4,0,0,2,Featherweight,U-DEC,U-DEC,3,5:00
3575,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Davey Grant,Marlon Vera,0,0,72,23,1,1,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
3576,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Scott Askham,Chris Dempsey,1,0,7,6,1,1,0,0,Middleweight,KO/TKO,Punch,1,4:45
3577,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Arnold Allen,Yaotzin Meza,1,0,31,25,4,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
3578,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Krzysztof Jotko,Brad Scott,0,0,59,45,2,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
3579,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Rustam Khabilov,Norman Parke,0,0,33,17,6,1,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3580,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Daniel Omielanczuk,Jarjis Danho,0,0,77,38,0,0,0,0,Heavyweight,M-DEC,M-DEC,3,1:31
3581,UFC Fight Night: Silva vs Bisping,"February 27, 2016",Teemu Packalen,Thibault Gouti,1,0,6,0,0,0,1,0,Lightweight,SUB,RearNakedChoke,1,0:24
3582,UFC Fight Night: Silva vs Bisping,"February 27, 2016",David Teymur,Martin Svensson,1,0,38,13,1,0,0,0,Lightweight,KO/TKO,Punch,2,1:26
3583,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Donald Cerrone,Alex Oliveira,0,0,4,14,1,0,1,0,Welterweight,SUB,TriangleChoke,1,2:33
3584,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Derek Brunson,Roan Carneiro,0,0,23,0,0,0,0,0,Middleweight,KO/TKO,Punches,1,2:38
3585,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Cody Garbrandt,Augusto Mendes,1,0,11,11,0,0,0,0,Catch Weight,KO/TKO,Punches,1,4:18
3586,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Dennis Bermudez,Tatsuya Kawajiri,0,0,61,12,4,1,1,0,Featherweight,U-DEC,U-DEC,3,5:00
3587,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Chris Camozzi,Joe Riggs,1,0,11,0,0,0,0,0,Middleweight,KO/TKO,Knees,1,0:26
3588,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",James Krause,Shane Campbell,0,0,47,82,2,2,2,0,Lightweight,U-DEC,U-DEC,3,5:00
3589,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Sean Strickland,Alex Garcia,1,0,84,23,1,3,0,0,Welterweight,KO/TKO,Punches,3,4:25
3590,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Oluwale Bamgbose,Daniel Sarafian,1,0,8,0,0,0,0,0,Middleweight,KO/TKO,OKick,1,1:00
3591,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Anthony Smith,Leonardo Guimaraes,0,0,57,64,2,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
3592,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Nathan Coy,Jonavin Webb,0,0,37,21,3,3,0,0,Welterweight,U-DEC,U-DEC,3,5:00
3593,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Ashlee Evans-Smith,Marion Reneau,0,0,55,53,1,1,0,1,Women's Bantamweight,S-DEC,S-DEC,3,5:00
3594,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Lauren Murphy,Kelly Faszholz,0,0,95,76,1,0,0,0,Women's Bantamweight,KO/TKO,Punches,3,4:55
3595,UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Shamil Abdurakhimov,Anthony Hamilton,0,0,62,40,0,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
3596,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Stephen Thompson,Johny Hendricks,1,0,24,7,0,0,0,0,Welterweight,KO/TKO,Punch,1,3:31
3597,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Roy Nelson,Jared Rosholt,0,0,42,36,0,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
3598,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Ovince Saint Preux,Rafael Cavalcante,0,0,51,10,1,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
3599,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Joseph Benavidez,Zach Makovsky,0,0,66,40,0,4,0,0,Flyweight,U-DEC,U-DEC,3,5:00
3600,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Misha Cirkunov,Alex Nicholson,0,0,32,16,3,0,1,0,Light Heavyweight,SUB,NeckCrank,2,1:28
3601,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Mike Pyle,Sean Spencer,0,1,75,50,1,0,0,0,Welterweight,KO/TKO,Elbow,3,4:25
3602,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Joshua Burkman,KJ Noons,0,0,57,33,3,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3603,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Derrick Lewis,Damian Grabowski,0,0,14,1,1,0,0,0,Heavyweight,KO/TKO,Punch,1,2:17
3604,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Justin Scoggins,Ray Borg,0,0,57,20,4,1,0,0,Flyweight,U-DEC,U-DEC,3,5:00
3605,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Diego Rivas,Noad Lahat,1,0,5,7,1,1,0,3,Featherweight,KO/TKO,FlyingKnee,2,0:23
3606,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Mickey Gall,Mike Jackson,1,0,2,3,0,0,1,0,Welterweight,SUB,RearNakedChoke,1,0:45
3607,UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Alex White,Artem Lobov,0,0,78,23,3,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
3608,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Anthony Johnson,Ryan Bader,0,0,11,0,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,1:26
3609,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Ben Rothwell,Josh Barnett,0,0,35,35,0,0,1,0,Heavyweight,SUB,GuillotineChoke,2,3:48
3610,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Jimmie Rivera,Iuri Alcantara,0,0,45,41,3,0,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
3611,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Bryan Barberena,Sage Northcutt,0,0,26,18,1,1,1,0,Welterweight,SUB,ArmTriangle,2,3:06
3612,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Tarec Saffiedine,Jake Ellenberger,0,0,54,30,0,0,0,0,Welterweight,U-DEC,U-DEC,3,5:00
3613,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Diego Ferreira,Olivier Aubin-Mercier,0,0,65,49,0,1,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3614,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Rafael Natal,Kevin Casey,1,0,54,16,4,0,0,0,Middleweight,KO/TKO,Punches,3,3:37
3615,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Wilson Reis,Dustin Ortiz,0,0,48,45,9,1,0,0,Flyweight,U-DEC,U-DEC,3,5:00
3616,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Alexander Yakovlev,George Sullivan,1,0,15,14,2,0,0,0,Welterweight,KO/TKO,Punches,1,3:59
3617,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Alex Caceres,Masio Fullen,0,0,74,36,1,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
3618,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Randy Brown,Matt Dwyer,0,0,48,46,1,1,1,0,Welterweight,U-DEC,U-DEC,3,5:00
3619,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Draw,Levan Makashvili,0,0,44,65,0,2,0,0,Featherweight,M-DEC,M-DEC,3,5:00
3620,UFC on FOX: Johnson vs. Bader,"January 30, 2016",Anthony Rocco Martin,Felipe Olivieri,0,0,60,87,2,0,1,0,Lightweight,SUB,RearNakedChoke,3,3:02
3621,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Dominick Cruz,TJ Dillashaw,0,0,112,109,4,1,0,0,Bantamweight,S-DEC,S-DEC,5,5:00
3622,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Eddie Alvarez,Anthony Pettis,0,0,42,56,6,0,0,0,Lightweight,S-DEC,S-DEC,3,5:00
3623,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Travis Browne,Matt Mitrione,0,1,51,27,2,0,0,0,Heavyweight,KO/TKO,Punches,3,4:09
3624,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Francisco Trinaldo,Ross Pearson,0,0,51,28,1,2,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3625,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Patrick Cote,Ben Saunders,1,0,42,11,0,1,1,0,Welterweight,KO/TKO,Punches,2,1:14
3626,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Ed Herman,Tim Boetsch,1,0,47,27,0,0,0,0,Light Heavyweight,KO/TKO,OKnee,2,1:39
3627,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Chris Wade,Mehdi Baghdad,0,0,5,1,2,0,1,0,Lightweight,SUB,RearNakedChoke,1,4:30
3628,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Luke Sanders,Maximo Blanco,1,0,26,16,0,1,1,1,Featherweight,SUB,RearNakedChoke,1,3:38
3629,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Paul Felder,Daron Cruickshank,0,0,46,32,2,3,3,0,Lightweight,SUB,RearNakedChoke,3,3:56
3630,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Ilir Latifi,Sean O'Connell,1,0,2,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:30
3631,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Charles Rosa,Kyle Bochniak,0,1,92,52,1,1,0,0,Featherweight,U-DEC,U-DEC,3,5:00
3632,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Rob Font,Joey Gomez,1,0,52,15,1,1,0,0,Bantamweight,KO/TKO,Punches,2,4:13
3633,UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Francimar Barroso,Elvis Mutapcic,0,0,57,38,1,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
3634,UFC 195: Lawler vs Condit,"January 02, 2016",Robbie Lawler,Carlos Condit,1,0,92,176,0,0,0,0,Welterweight,S-DEC,S-DEC,5,5:00
3635,UFC 195: Lawler vs Condit,"January 02, 2016",Stipe Miocic,Andrei Arlovski,1,0,11,7,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:54
3636,UFC 195: Lawler vs Condit,"January 02, 2016",Albert Tumenov,Lorenz Larkin,0,0,76,69,0,0,0,0,Welterweight,S-DEC,S-DEC,3,5:00
3637,UFC 195: Lawler vs Condit,"January 02, 2016",Brian Ortega,Diego Brandao,0,0,29,56,0,2,2,0,Featherweight,SUB,TriangleChoke,3,1:37
3638,UFC 195: Lawler vs Condit,"January 02, 2016",Abel Trujillo,Tony Sims,0,0,4,5,0,1,1,0,Lightweight,SUB,GuillotineChoke,1,3:18
3639,UFC 195: Lawler vs Condit,"January 02, 2016",Michael McDonald,Masanori Kanehara,0,0,5,15,0,2,2,1,Bantamweight,SUB,RearNakedChoke,2,2:09
3640,UFC 195: Lawler vs Condit,"January 02, 2016",Alex Morono,Kyle Noke,0,0,43,59,0,1,1,0,Welterweight,S-DEC,S-DEC,3,5:00
3641,UFC 195: Lawler vs Condit,"January 02, 2016",Justine Kish,Nina Nunes,0,0,72,92,3,1,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
3642,UFC 195: Lawler vs Condit,"January 02, 2016",Drew Dober,Scott Holtzman,0,0,36,38,5,2,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3643,UFC 195: Lawler vs Condit,"January 02, 2016",Dustin Poirier,Joe Duffy,0,0,72,37,4,0,0,1,Lightweight,U-DEC,U-DEC,3,5:00
3644,UFC 195: Lawler vs Condit,"January 02, 2016",Michinori Tanaka,Joe Soto,0,0,57,71,3,1,0,4,Bantamweight,S-DEC,S-DEC,3,5:00
3645,UFC 195: Lawler vs Condit,"January 02, 2016",Sheldon Westcott,Edgar Garcia,0,0,33,1,1,0,0,0,Welterweight,KO/TKO,Punches,1,3:12
3646,UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Rafael Dos Anjos,Donald Cerrone,0,0,26,4,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:06
3647,UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Alistair Overeem,Junior Dos Santos,1,0,32,22,0,0,0,0,Heavyweight,KO/TKO,Punches,2,4:43
3648,UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nate Diaz,Michael Johnson,0,0,153,103,0,1,0,0,Lightweight,U-DEC,U-DEC,3,5:00
3649,UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Karolina Kowalkiewicz,Randa Markos,0,0,66,34,0,1,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
3650,UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Charles Oliveira,Myles Jury,0,0,5,5,1,0,1,0,Featherweight,SUB,GuillotineChoke,1,3:05
